T33,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
4,Afghanistan,2010,Tourism expenditure (millions of US dollars),,,147,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
4,Afghanistan,2018,Tourism expenditure (millions of US dollars),,,50,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
4,Afghanistan,2019,Tourism expenditure (millions of US dollars),,,85,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
4,Afghanistan,2020,Tourism expenditure (millions of US dollars),,,75,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2010,Tourist/visitor arrivals (thousands),TF,,"2,191",Excluding nationals residing abroad.;Including transit visitors.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2018,Tourist/visitor arrivals (thousands),TF,,"5,340",Excluding nationals residing abroad.;Including transit visitors.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2019,Tourist/visitor arrivals (thousands),TF,,"6,128",Excluding nationals residing abroad.;Including transit visitors.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2020,Tourist/visitor arrivals (thousands),TF,,"2,604",Excluding nationals residing abroad.;Including transit visitors.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,1995,Tourism expenditure (millions of US dollars),,,70,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2005,Tourism expenditure (millions of US dollars),,,880,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2010,Tourism expenditure (millions of US dollars),,,"1,778",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2018,Tourism expenditure (millions of US dollars),,,"2,306",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2019,Tourism expenditure (millions of US dollars),,,"2,458",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
8,Albania,2020,Tourism expenditure (millions of US dollars),,,"1,243",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,1995,Tourist/visitor arrivals (thousands),VF,,520,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2005,Tourist/visitor arrivals (thousands),VF,,"1,443",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2010,Tourist/visitor arrivals (thousands),VF,,"2,070",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2018,Tourist/visitor arrivals (thousands),VF,,"2,657",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2019,Tourist/visitor arrivals (thousands),VF,,"2,371",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2020,Tourist/visitor arrivals (thousands),VF,,591,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2005,Tourism expenditure (millions of US dollars),,,477,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2010,Tourism expenditure (millions of US dollars),,,324,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2018,Tourism expenditure (millions of US dollars),,,197,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
12,Algeria,2019,Tourism expenditure (millions of US dollars),,,140,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed June 2022."
