Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Days CO,% Days NO2,% Days PM2.5,% Days PM10,County_State
74,49,36,0.929368029739777,0.0,0.0,0.0,0.0,0.0,0.26394052044609667,0.0,"Baldwin, AL"
86,49,26,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Clay, AL"
90,45,36,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.09065934065934066,0.0,"DeKalb, AL"
47,41,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Elmore, AL"
92,46,34,0.935251798561151,0.0,0.0,0.0,0.0,0.0,0.26618705035971224,0.0,"Etowah, AL"
129,67,48,0.5792349726775956,0.00819672131147541,0.0,0.0,0.0,0.00546448087431694,0.6584699453551912,0.0,"Jefferson, AL"
75,36,18,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Lawrence, AL"
88,54,40,0.8434065934065934,0.0,0.0,0.0,0.0,0.0,0.6236263736263736,0.013736263736263736,"Madison, AL"
75,58,42,0.735632183908046,0.0,0.0,0.0,0.0,0.0,0.6724137931034483,0.0,"Mobile, AL"
116,66,52,0.4487534626038781,0.00554016620498615,0.0,0.0,0.0,0.0,0.9002770083102493,0.0,"Montgomery, AL"
71,52,35,0.8676056338028169,0.0,0.0,0.0,0.0,0.0,0.6056338028169014,0.0,"Morgan, AL"
99,56,36,0.8191780821917808,0.0,0.0,0.0,0.0,0.0,0.6958904109589041,0.0,"Russell, AL"
67,46,34,0.9626556016597511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Shelby, AL"
70,44,29,0.9661971830985916,0.0,0.0,0.0,0.0,0.0,0.49859154929577465,0.0,"Sumter, AL"
97,45,31,0.960431654676259,0.0,0.0,0.0,0.0,0.0,0.26258992805755393,0.0,"Tuscaloosa, AL"
31,22,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Aleutians East, AK"
91,48,22,0.912568306010929,0.0,0.0,0.0,0.01912568306010929,0.0,0.6338797814207651,0.3469945355191257,"Anchorage, AK"
56,21,6,0.9940119760479041,0.0,0.0,0.0,0.0,0.0,0.1437125748502994,0.8562874251497006,"Bethel, AK"
54,42,33,0.9972067039106145,0.0,0.0,0.0,0.0,0.0,0.013966480446927373,0.0,"Denali, AK"
170,106,33,0.6967213114754098,0.04644808743169399,0.0546448087431694,0.0,0.0,0.0,0.7240437158469946,0.0273224043715847,"Fairbanks North Star, AK"
101,40,14,0.9501385041551247,0.002770083102493075,0.0,0.0,0.0,0.0,0.9168975069252078,0.08310249307479224,"Juneau, AK"
43,15,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Kenai Peninsula, AK"
103,45,13,0.9275766016713092,0.002785515320334262,0.0,0.0,0.0,0.0,0.7910863509749304,0.20891364902506965,"Matanuska-Susitna, AK"
44,12,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"North Slope, AK"
58,29,14,0.989010989010989,0.0,0.0,0.0,0.0,0.0,0.06593406593406594,0.9340659340659341,"Apache, AZ"
108,61,45,0.7486338797814208,0.00546448087431694,0.0,0.0,0.0,0.0,0.00546448087431694,0.16666666666666666,"Cochise, AZ"
93,54,44,0.8415300546448088,0.0,0.0,0.0,0.0,0.0,0.03825136612021858,0.0,"Coconino, AZ"
