Name,FIPS,"% Educational Attainment | Bachelor's degree or higher, 2021 [Estimated]","Population Density (per square mile), 2021 [Estimated]","% Household Size | 1-person household, 2021 [Estimated]","% Household Size | 2-person household, 2021 [Estimated]","% Household Size | 3-person household, 2021 [Estimated]","% Household Size | 4-person household, 2021 [Estimated]","% Household Size | 5-person household, 2021 [Estimated]","% Household Size | 6-person household, 2021 [Estimated]","# Gini Index Of Income Inequality [B19083] | Gini Index, 2019","% Hispanic or Latino | Hispanic or Latino, 2021 [Estimated]"
"Abbeville County, SC",45001,17.2737,49.631,32.2195,41.3428,9.0814,11.0925,3.7394,0.7437,0.479,1.8942
"Acadia Parish, LA",22001,14.5731,95.7722,23.769,32.1698,15.8837,14.3103,9.0112,3.2961,0.4791,3.4838
"Accomack County, VA",51001,19.4525,72.1216,29.0439,37.1741,15.7603,8.0609,5.0535,2.3844,0.448,9.5448
"Ada County, ID",16001,38.2892,452.3167,31.5286,34.6197,13.8452,10.9892,5.6727,1.938,0.4615,8.6253
"Adair County, IA",19001,17.9435,12.0786,30.6025,40.3252,12.0816,8.5751,3.124,3.1878,0.4298,2.5742
"Adair County, KY",21001,14.6893,48.0769,27.0764,31.7403,21.4193,10.1339,6.4776,0.9357,0.4777,2.5558
"Adair County, MO",29001,29.9331,44.4296,32.7026,38.1822,12.917,9.8217,4.1781,0.4266,0.5137,2.424
"Adair County, OK",40001,10.4417,38.5829,23.4789,36.2149,13.8313,13.0395,7.074,2.3888,0.4472,7.1677
"Adams County, CO",8001,24.4997,446.9053,21.7099,30.1738,16.9219,15.3376,8.7534,3.7915,0.4052,40.8253
"Adams County, IA",19003,16.6089,8.4146,29.5146,41.7476,8.1553,10.0971,7.2492,1.6181,0.4291,1.684
"Adams County, ID",16003,19.2619,3.0797,29.7475,45.8836,12.7881,3.4029,5.5434,0.4391,0.4392,3.8122
"Adams County, IL",17001,26.3804,76.7827,28.4895,38.2041,12.8585,10.7185,5.8244,2.5666,0.4503,2.1505
"Adams County, IN",18001,15.5107,105.4771,24.9542,31.7838,14.5109,10.4752,7.8564,3.9401,0.4228,4.9064
"Adams County, MS",28001,16.6449,66.9935,37.4239,31.3387,14.7151,7.7817,5.4306,1.5213,0.5216,6.1987
"Adams County, ND",38001,27.7606,2.3503,40.7805,31.122,4.9756,10.6341,7.6098,0.7805,0.4448,1.9819
"Adams County, NE",31001,24.8655,56.2373,32.5028,33.8748,11.7805,9.2572,7.144,3.162,0.4435,11.2479
"Adams County, OH",39001,14.6132,47.1477,26.7457,32.8063,12.8364,16.9584,5.9006,1.6845,0.4815,1.4967
"Adams County, PA",42001,22.4072,197.7874,25.4131,39.1325,14.3262,11.6711,5.8293,2.3016,0.3945,7.6265
"Adams County, WA",53001,13.995,10.3112,20.379,28.0585,15.0765,13.3477,10.2227,7.6463,0.4486,64.4718
"Adams County, WI",55001,13.2779,30.715,30.7547,46.3633,9.1129,6.811,4.1308,1.2193,0.4238,4.2913
"Addison County, VT",50001,39.5847,48.0982,30.4415,38.0502,13.4351,11.9633,3.4364,1.4785,0.4068,2.6561
"Adjuntas Municipio, PR",72001,17.2112,260.5347,24.4644,30.8002,25.2335,15.3818,2.2523,0.8606,0.5028,99.4647
"Aguada Municipio, PR",72003,19.1067,1187.834,23.2628,33.6265,17.2332,19.0318,4.8094,1.2123,0.5011,92.3121
"Aguadilla Municipio, PR",72005,23.124,1376.4799,28.3251,33.5345,21.7815,9.956,5.0642,0.4402,0.5604,97.3113
"Aguas Buenas Municipio, PR",72007,19.8182,824.467,24.4326,34.2396,19.1164,12.4408,6.8819,1.6385,0.5183,99.3509
"Aibonito Municipio, PR",72009,20.2227,705.1572,21.5613,40.1367,22.4967,8.874,3.7295,2.4463,0.4769,99.3433
"Aiken County, SC",45003,26.6825,158.9868,27.0195,38.6805,15.5032,10.2848,4.9941,1.9478,0.455,6.4233
"Aitkin County, MN",27001,18.9293,8.7029,30.2323,46.7742,9.4839,7.3161,3.6516,0.8516,0.4254,1.7219
"Alachua County, FL",12001,42.7493,310.0468,39.3711,32.495,13.2581,8.6428,3.1589,2.0699,0.5111,10.5213
"Alamance County, NC",37001,25.6819,393.9328,29.4588,33.2015,15.6126,12.2153,5.5288,2.521,0.4533,13.2559
